ds,y
6/1/2020 0:00,1.1
6/1/2020 1:00,1.09
6/1/2020 2:00,1.08
6/1/2020 3:00,1.08
6/1/2020 4:00,1.07
6/1/2020 5:00,1.06
6/1/2020 6:00,1.05
6/1/2020 7:00,1.05
6/1/2020 8:00,1.04
6/1/2020 9:00,1.02
6/1/2020 10:00,1.01
6/1/2020 11:00,1
6/1/2020 12:00,0.99
6/1/2020 13:00,0.97
6/1/2020 14:00,0.95
6/1/2020 15:00,0.93
6/1/2020 16:00,0.92
6/1/2020 17:00,0.92
6/1/2020 18:00,0.9
6/1/2020 19:00,0.92
6/1/2020 20:00,0.92
6/1/2020 21:00,0.92
6/1/2020 22:00,0.92
6/1/2020 23:00,0.92
6/2/2020 0:00,0.92
6/2/2020 1:00,0.92
6/2/2020 2:00,0.92
6/2/2020 3:00,0.92
6/2/2020 4:00,0.92
6/2/2020 5:00,0.92
6/2/2020 6:00,0.92
6/2/2020 7:00,0.86
6/2/2020 8:00,0.86
6/2/2020 9:00,0.87
6/2/2020 10:00,0.87
6/2/2020 11:00,0.87
6/2/2020 12:00,0.86
6/2/2020 13:00,0.86
6/2/2020 14:00,0.84
6/2/2020 15:00,0.84
6/2/2020 16:00,0.8
6/2/2020 17:00,0.78
6/2/2020 18:00,0.77
6/2/2020 19:00,0.77
6/2/2020 20:00,0.77
6/2/2020 21:00,0.77
6/2/2020 22:00,0.77
6/2/2020 23:00,0.77
6/3/2020 0:00,0.77
6/3/2020 1:00,0.77
6/3/2020 2:00,0.77
6/3/2020 3:00,0.77
6/3/2020 4:00,0.77
6/3/2020 5:00,0.77
6/3/2020 6:00,0.77
6/3/2020 7:00,0.77
6/3/2020 8:00,0.74
6/3/2020 9:00,0.75
6/3/2020 10:00,0.76
6/3/2020 11:00,0.75
6/3/2020 12:00,0.73
6/3/2020 13:00,0.73
6/3/2020 14:00,0.73
6/3/2020 15:00,0.69
6/3/2020 16:00,0.68
6/3/2020 17:00,0.66
6/3/2020 18:00,0.64
6/3/2020 19:00,0.68
6/3/2020 20:00,0.7
6/3/2020 21:00,0.71
6/3/2020 22:00,0.71
6/3/2020 23:00,0.7
6/4/2020 0:00,0.68
6/4/2020 1:00,0.66
6/4/2020 2:00,0.65
6/4/2020 3:00,0.65
6/4/2020 4:00,0.64
6/4/2020 5:00,0.64
6/4/2020 6:00,0.64
6/4/2020 7:00,0.65
6/4/2020 8:00,0.66
6/4/2020 9:00,0.65
6/4/2020 10:00,0.64
6/4/2020 11:00,0.63
6/4/2020 12:00,0.63
6/4/2020 13:00,0.63
6/4/2020 14:00,0.64
6/4/2020 15:00,0.64
6/4/2020 16:00,0.62
6/4/2020 17:00,0.61
6/4/2020 18:00,0.61
6/4/2020 19:00,0.63
6/4/2020 20:00,0.65
6/4/2020 21:00,0.65
6/4/2020 22:00,0.64
6/4/2020 23:00,0.62
6/5/2020 0:00,0.61
6/5/2020 1:00,0.59
6/5/2020 2:00,0.57
6/5/2020 3:00,0.57
6/5/2020 4:00,0.57
6/5/2020 5:00,0.57
6/5/2020 6:00,0.56
6/5/2020 7:00,0.58
6/5/2020 8:00,0.59
6/5/2020 9:00,0.59
6/5/2020 10:00,0.57
6/5/2020 11:00,0.56
6/5/2020 12:00,0.56
6/5/2020 13:00,0.56
6/5/2020 14:00,0.56
6/5/2020 15:00,0.56
6/5/2020 16:00,0.56
6/5/2020 17:00,0.56
6/5/2020 18:00,0.55
6/5/2020 19:00,0.56
6/5/2020 20:00,0.58
6/5/2020 21:00,0.58
6/5/2020 22:00,0.57
6/5/2020 23:00,0.55
6/6/2020 0:00,0.53
6/6/2020 1:00,0.51
6/6/2020 2:00,0.5
6/6/2020 3:00,0.49
6/6/2020 4:00,0.48
6/6/2020 5:00,0.48
6/6/2020 6:00,0.47
6/6/2020 7:00,0.48
6/6/2020 8:00,0.52
6/6/2020 9:00,0.55
6/6/2020 10:00,0.66
6/6/2020 11:00,0.72
6/6/2020 12:00,0.76
6/6/2020 13:00,0.79
6/6/2020 14:00,0.81
6/6/2020 15:00,0.84
6/6/2020 16:00,0.87
6/6/2020 17:00,0.9
6/6/2020 18:00,0.95
6/6/2020 19:00,1.01
6/6/2020 20:00,1.04
6/6/2020 21:00,1.08
6/6/2020 22:00,1.1
6/6/2020 23:00,1.09
6/7/2020 0:00,1.06
6/7/2020 1:00,1.02
6/7/2020 2:00,1.01
6/7/2020 3:00,1.02
6/7/2020 4:00,1.02
6/7/2020 5:00,1.02
6/7/2020 6:00,1.02
6/7/2020 7:00,1.03
6/7/2020 8:00,1.05
6/7/2020 9:00,1.08
6/7/2020 10:00,1.09
6/7/2020 11:00,1.1
6/7/2020 12:00,1.1
6/7/2020 13:00,1.08
6/7/2020 14:00,1.07
6/7/2020 15:00,1.06
6/7/2020 16:00,1.03
6/7/2020 17:00,1
6/7/2020 18:00,1.03
6/7/2020 19:00,1.07
6/7/2020 20:00,1.17
6/7/2020 21:00,1.51
6/7/2020 22:00,2.06
6/7/2020 23:00,2.46
6/8/2020 0:00,2.69
6/8/2020 1:00,2.8
6/8/2020 2:00,2.78
6/8/2020 3:00,2.73
6/8/2020 4:00,2.66
6/8/2020 5:00,2.61
6/8/2020 6:00,2.58
6/8/2020 7:00,2.55
6/8/2020 8:00,2.5
6/8/2020 9:00,2.43
